taxon	min_yr	max_yr
Eulithomyrmex_rugosus	33.9	37.2
Casaleia_eocenica	40.4	48.6
Mianeuretus_mirabilis	33.9	37.2
Liometopum_lubricum	15.97	20.44
Parasyscia_conservata	0.0	0.0117
Rhytidoponera_gibsoni	20.44	23.03
Formicium_brodiei	33.9	38
Lasius_vetulus	15.97	20.44
Macabeemyrma_ovata	47.8	56
Fallomyrma_transversa	33.9	38
Taphopone_aberrans	33.9	38
Discothyrea_gigas	13.82	20.44
Pseudomyrmex_saxulum	41.3	47.8
Cretomyrma_arnoldii	83.5	85.8
Brownimecia_clavata	92	92
Camelomecia_janovitzi	98.12	99.52
Gerontoformica_gracilis	98.12	99.52
Gerontoformica_magnus	98.12	99.52
Gerontoformica_pilosus	98.12	99.52
Gerontoformica_spiralis	98.12	99.52
Haidomyrmex_scimitarus	98.12	99.52
Haidomyrmodes_mammuthus	98.12	99.52
Haidoterminus_cippus	78	79
Kyromyrma_sp	98.12	99.52
Myanmyrma_gracilis	98.12	99.52
Sphecomyrma_freyi	92	92
Zigrasimecia_sp	98.12	99.52
