taxon	min_yr	max_yr
Ceratomyrmex_ellenbergeri	93.5	99.6
Pseudomyrmex_saxulum	41.3	47.8
Bradoponera_wunderlichi	33.9	38
Afropone_oculata	89.8	93.9
Paraponera_dieteri	13.82	20.44
Afromyrma_petrosa	89.8	93.9
Avitomyrmex_elongatus	47.8	56
Titanomyrma_lubei	46.2	50.3
Canapone_dentata	70.6	83.5
Pseudectatomma_eocenica	40.4	48.6
Acanthostichus_hispaniolicus	13.82	20.44
Eotapinoma_macalpini	70.6	83.5
Cananeuretus_occidentalis	70.6	83.5
Casaleia_eocenica	40.4	48.6
Eulithomyrmex_rugosus	33.9	37.2
Camelomecia_janovitzi	98.12	99.52
Gerontoformica_gracilis	98.12	99.52
Gerontoformica_magnus	98.12	99.52
Gerontoformica_pilosus	98.12	99.52
Gerontoformica_spiralis	98.12	99.52
Haidomyrmex_scimitarus	98.12	99.52
Haidomyrmodes_mammuthus	98.12	99.52
Haidoterminus_cippus	78	79
Kyromyrma_sp	98.12	99.52
Myanmyrma_gracilis	98.12	99.52
Sphecomyrma_freyi	92	92
Zigrasimecia_sp	98.12	99.52
