taxon	min_yr	max_yr
Eulithomyrmex_rugosus	33.9	37.2
Casaleia_longiventris	11.608	12.7
Mianeuretus_mirabilis	33.9	37.2
Brownimecia_clavata	89.8	93.9
Leptomyrmula_maravignae	5.333	11.608
Acanthostichus_hispaniolicus	13.82	20.44
Ectatomma_gracile	5.333	11.608
Formicium_brodiei	33.9	38
Camponotites_steinbachi	2.588	3.6
Prionomyrmex_wappleri	23.03	28.4
Paraphaenogaster_tertiaria	11.608	12.7
Paraponera_dieteri	13.82	20.44
Ponera_leptocephala	5.333	11.608
Discothyrea_gigas	13.82	20.44
Pseudomyrmex_extinctus	33.9	37.2
Cretomyrma_arnoldii	83.5	85.8
Camelomecia_janovitzi	98.12	99.52
Gerontoformica_gracilis	98.12	99.52
Gerontoformica_magnus	98.12	99.52
Gerontoformica_pilosus	98.12	99.52
Gerontoformica_spiralis	98.12	99.52
Haidomyrmex_scimitarus	98.12	99.52
Haidomyrmodes_mammuthus	98.12	99.52
Haidoterminus_cippus	78	79
Kyromyrma_sp	98.12	99.52
Myanmyrma_gracilis	98.12	99.52
Sphecomyrma_freyi	92	92
Zigrasimecia_sp	98.12	99.52
