taxon	min_yr	max_yr
Eulithomyrmex_rugosus	33.9	37.2
Casaleia_orientalis	33.9	38
Cananeuretus_occidentalis	70.6	83.5
Liometopum_lubricum	15.97	20.44
Acanthostichus_hispaniolicus	13.82	20.44
Canapone_dentata	70.6	83.5
Titanomyrma_simillima	40.4	48.6
Formica_linquensis	15.97	20.44
Avitomyrmex_mastax	47.8	56
Strumigenys_schleeorum	13.82	20.44
Platythyrea_dlusskyi	48.6	55.8
Proceratium_dominicanum	13.82	20.44
Pseudomyrmex_saxulum	41.3	47.8
Ceratomyrmex_ellenbergeri	98.2	99.4
Brownimecia_clavata	92	92
Camelomecia_janovitzi	98.12	99.52
Gerontoformica_gracilis	98.12	99.52
Gerontoformica_magnus	98.12	99.52
Gerontoformica_pilosus	98.12	99.52
Gerontoformica_spiralis	98.12	99.52
Haidomyrmex_scimitarus	98.12	99.52
Haidomyrmodes_mammuthus	98.12	99.52
Haidoterminus_cippus	78	79
Kyromyrma_sp	98.12	99.52
Myanmyrma_gracilis	98.12	99.52
Sphecomyrma_freyi	92	92
Zigrasimecia_sp	98.12	99.52
