taxon	min_yr	max_yr
Eulithomyrmex_rugosus	33.9	37.2
Casaleia_eocenica	40.4	48.6
Paraneuretus_dubovikoffi	33.9	38
Dolichoderus_transversipetiolaris	15.97	20.44
Parasyscia_conservata	0.0	0.0117
Rhytidoponera_gibsoni	20.44	23.03
Formicium_mirabile	41.3	47.8
Formica_demersa	11.607999999999999	12.7
Archimyrmex_wedmannae	40.4	48.6
Eocenomyrma_ukrainica	33.9	38
Archiponera_wheeleri	33.9	37.2
Discothyrea_gigas	13.82	20.44
Pseudomyrmex_saxulum	41.3	47.8
Cretomyrma_unicornis	83.5	85.8
Brownimecia_clavata	92	92
Camelomecia_janovitzi	98.12	99.52
Gerontoformica_gracilis	98.12	99.52
Gerontoformica_magnus	98.12	99.52
Gerontoformica_pilosus	98.12	99.52
Gerontoformica_spiralis	98.12	99.52
Haidomyrmex_scimitarus	98.12	99.52
Haidomyrmodes_mammuthus	98.12	99.52
Haidoterminus_cippus	78	79
Kyromyrma_sp	98.12	99.52
Myanmyrma_gracilis	98.12	99.52
Sphecomyrma_freyi	92	92
Zigrasimecia_sp	98.12	99.52
