taxon	min_yr	max_yr
Usomyrma_mirabilis	33.9	38.
Gnamptogenys_levinates	13.82	20.44
Oecophylla_praeclara	28.4	33.9
Prionomyrmex_wappleri	23.03	28.4
Solenopsis_privata	28.4	33.9
Austroponera_schneideri	20.44	23.03
Proceratium_denticulatum	13.82	20.44
Sphecomyrma_freyi	89.8	93.9
Brownimecia_clavata	89.8	93.9
Camelomecia_janovitzi	98.17	99.41
Gerontoformica_gracilis	93.5	99.6
Gerontoformica_magnus	93.5	99.6
Gerontoformica_pilosus	93.5	99.6
Gerontoformica_spiralis	93.5	99.6
Haidomyrmex_scimitarus	93.5	99.6
Haidomyrmodes_mammuthus	98.0	100.0
Haidoterminus_cippus	78.0	79.0
Kyromyrma_sp	89.8	93.9
Myanmyrma_gracilis	93.5	99.6
Sphecomyrma_freyi	79.0	92.0
Zigrasimecia_sp	98.17	99.41
