Specimen,subfamily,Tribe,Genus
Acanthognathus_poinari,Myrmicinae,Attini,Acanthognathus
Acanthostichus_hispaniolicus,Dorylinae,,Acanthostichus
Afromyrma_petrosa,Myrmicinae,,Afromyrma
Afropone_oculata,Ponerinae,,Afropone
Afropone_orapa,Ponerinae,,Afropone
Agastomyrma_laticeps,Myrmicinae,,Agastomyrma
Anochetus_ambiguus,Ponerinae,Ponerini,Anochetus
Anochetus_brevidentatus,Ponerinae,Ponerini,Anochetus
Anochetus_conisquamis,Ponerinae,Ponerini,Anochetus
Anochetus_corayi,Ponerinae,Ponerini,Anochetus
Anochetus_dubius,Ponerinae,Ponerini,Anochetus
Anochetus_exstinctus,Ponerinae,Ponerini,Anochetus
Anochetus_intermedius,Ponerinae,Ponerini,Anochetus
Anochetus_lucidus,Ponerinae,Ponerini,Anochetus
Aphaenogaster,Myrmicinae,Stenammini,
Aphaenogaster_amphioceanica,Myrmicinae,Stenammini,Aphaenogaster
Aphaenogaster_archaica,Myrmicinae,Stenammini,Aphaenogaster
Aphaenogaster_dlusskyana,Myrmicinae,Stenammini,Aphaenogaster
Aphaenogaster_donisthorpei,Myrmicinae,Stenammini,Aphaenogaster
Aphaenogaster_mayri,Myrmicinae,Stenammini,Aphaenogaster
Aphaenogaster_praerelicta,Myrmicinae,Stenammini,Aphaenogaster
Apterostigma_electropilosum,Myrmicinae,Attini,Apterostigma
Apterostigma_eowilsoni,Myrmicinae,Attini,Apterostigma
Archimyrmex_piatnitzkyi,Myrmeciinae,,Archimyrmex
Archimyrmex_rostratus,Myrmeciinae,,Archimyrmex
Archimyrmex_wedmannae,Myrmeciinae,,Archimyrmex
Archiponera_wheeleri,Ponerinae,Ponerini,Archiponera
Attopsis_longipennis,Formicinae,,Attopsis
Attopsis_longipes,Formicinae,Oecophyllini,Oecophylla
Austroponera_schneideri,Ponerinae,Ponerini,Austroponera
Avitomyrmex_elongatus,Myrmeciinae,,Avitomyrmex
Avitomyrmex_mastax,Myrmeciinae,,Avitomyrmex
Avitomyrmex_systenus,Myrmeciinae,,Avitomyrmex
Baikuris_mandibularis,,,Baikuris
Baikuris_maximus,,,Baikuris
Baikuris_mirabilis,,,Baikuris
Biamomyrma_lata,Myrmicinae,,Biamomyrma
Biamomyrma_rugosa,Myrmicinae,,Biamomyrma
Biamomyrma_zherikhini,Myrmicinae,,Biamomyrma
Bilobomyrma_baltica,Myrmicinae,,Bilobomyrma
Bilobomyrma_ukrainica,Myrmicinae,,Bilobomyrma
Boltonidris_mirabilis,Myrmicinae,,Boltonidris
Bradoponera_wunderlichi,Proceratiinae,Proceratiini,Bradoponera
Britaneuretus_anglicus,Aneuretinae,,Britaneuretus
Brownimecia_clavata,Brownimeciinae,,Brownimecia
Calyptites_antediluvianum,,,Calyptites
Camponotites_silvestris,Formicinae,,Camponotites
Camponotites_steinbachi,Formicinae,,Camponotites
Camponotites_xiejiaheensis,Formicinae,,Camponotites
Camponotus,Formicinae,Camponotini,
Camponotus_ambon,Formicinae,Camponotini,Camponotus
Camponotus_ampullosus,Formicinae,Camponotini,Camponotus
Camponotus_cockerelli,Formicinae,,Camponotus
Camponotus_compactus,Formicinae,Camponotini,Camponotus
Camponotus_crozei,Formicinae,Camponotini,Camponotus
Camponotus_curviansatus,Formicinae,Camponotini,Camponotus
Camponotus_fuscipennis,Formicinae,Camponotini,Camponotus
Camponotus_gracilis,Formicinae,Camponotini,Camponotus
Camponotus_heracleus,Formicinae,Camponotini,Camponotus
Camponotus_induratus,Formicinae,Camponotini,Camponotus
Camponotus_lignitus,Formicinae,Camponotini,Camponotus
Camponotus_longus,Formicinae,Camponotini,Camponotus
Camponotus_microcephalus,Formicinae,Camponotini,Camponotus
Camponotus_microthoracus,Formicinae,Camponotini,Camponotus
Camponotus_novotnyi,Formicinae,Camponotini,Camponotus
Camponotus_obesus,Formicinae,Camponotini,Camponotus
Camponotus_palaeopterus,Formicinae,Camponotini,Camponotus
Camponotus_petrifactus,Formicinae,Camponotini,Camponotus
Camponotus_pictus,Formicinae,Camponotini,Camponotus
Camponotus_pinguiculus,Formicinae,Camponotini,Camponotus
Camponotus_plenus,Formicinae,Camponotini,Camponotus
