taxon	age	subfamily	tribe	genus		
Acanthognathus_ocellatus	0	Myrmicinae	Attini	Acanthognathus		
Acanthomyrmex_ferox	0	Myrmicinae	Crematogastrini	Acanthomyrmex		
Acanthoponera_minor	0	Heteroponerinae		Acanthoponera		
Acanthostichus_davisi	0	Dorylinae		Acanthostichus		
Acanthostichus_kirbyi	0	Dorylinae		Acanthostichus		
Acanthostichus_punctiscapus	0	Dorylinae		Acanthostichus		
Acromyrmex_versicolor	0	Myrmicinae	Attini	Acromyrmex		
Acropyga_acutiventris	0	Formicinae	Plagiolepidini	Acropyga		
Acropyga_epedana	0	Formicinae	Plagiolepidini	Acropyga		
Adelomyrmex_paratristani	0	Myrmicinae	Solenopsidini	Adelomyrmex		
Adelomyrmex_SC01	0	Myrmicinae	Solenopsidini	Adelomyrmex		
Adetomyrma_MAD02	0	Amblyoponinae		Adetomyrma		
Adetomyrma_sp2b	0	Amblyoponinae		Adetomyrma		
Adlerzia_froggatti	0	Myrmicinae	Crematogastrini	Adlerzia		
Aenictogiton_UG01	0	Dorylinae		Aenictogiton		
Aenictogiton_ZAM02	0	Dorylinae		Aenictogiton		
Aenictogiton_ZM02	0	Dorylinae		Aenictogiton		
Aenictus_ceylonicus	0	Dorylinae		Aenictus		
Aenictus_eugenii	0	Dorylinae		Aenictus		
Aenictus_GA03	0	Dorylinae		Aenictus		
Aenictus_sp1	0	Dorylinae		Aenictus		
Aenictus_sp2	0	Dorylinae		Aenictus		
Aenictus_turneri	0	Dorylinae		Aenictus		
Aglyptacros_cf_sulcatus	0	Tiphiinae		Aglyptacros		Glyptacros
Allomerus_octoarticulatus	0	Myrmicinae	Attini	Allomerus		
Amblyopone_australis	0	Amblyoponinae		Amblyopone		
Amyrmex_BR01	0	Dorylinae		Amyrmex		
Ancyridris_polyrhachioides_nr	0	Myrmicinae	Crematogastrini	Ancyridris		
Aneuretus_simoni	0	 Aneuretinae		Aneuretus  		
Anillomyrma_AFRC_TZ_01	0	Myrmicinae	Solenopsidini	Anillomyrma		
Anillomyrma_decamera	0	Myrmicinae	Solenopsidini	Anillomyrma		
Ankylomyrma_coronacantha	0	Agroecomyrmecinae		Ankylomyrma		
Anochetus_emarginatus	0	Ponerinae	Ponerini	Anochetus		
Anochetus_madagascarensis	0	Ponerinae	Ponerini	Anochetus		
Anochetus_mayri	0	Ponerinae	Ponerini	Anochetus		
Anonychomyrma_gilberti	0	Dolichoderinae	Leptomyrmecini	Anonychomyrma		
Anonychomyrma_itinerans	0	Dolichoderinae	Leptomyrmecini	Anonychomyrma		
Anonychomyrma_nitidiceps	0	Dolichoderinae	Leptomyrmecini	Anonychomyrma		
Anoplolepis_gracilipes_Sc	0	Formicinae	Plagiolepidini	Anoplolepis 		
Aphaenogaster_albisetosa	0	Myrmicinae	Stenammini	Aphaenogaster		
Aphaenogaster_araneoides	0	Myrmicinae	Stenammini	Aphaenogaster		
Aphaenogaster_occidentalis	0	Myrmicinae	Stenammini	Aphaenogaster		
Aphaenogaster_pythia	0	Myrmicinae	Stenammini	Aphaenogaster		
Aphaenogaster_swammerdami	0	Myrmicinae	Stenammini	Aphaenogaster		
Aphaenogaster_texana	0	Myrmicinae	Stenammini	Aphaenogaster		
Apomyrma_stygia	0	Amblyoponinae		Apomyrma		
Apterogyna_ZA01	0	Apterogyninae		Apterogyna		
Apterostigma_auriculatum	0	Myrmicinae	Attini	Apterostigma		
Apterostigma_sp	0	Myrmicinae	Attini	Apterostigma		
Aptinoma_antongil	0	Dolichoderinae	Tapinomini	Aptinoma		
Aptinoma_mangabe	0	Dolichoderinae	Tapinomini	Aptinoma		
Arnoldius_AU01	0	Dolichoderinae	Bothriomyrmecini	Arnoldius		
Atopomyrmex_mocquerysi	0	Myrmicinae	Crematogastrini	Atopomyrmex		
Atta_sp	0	Myrmicinae	Attini	Atta		
Atta_texana	0	Myrmicinae	Attini	Atta		
Austromorium_flavigaster	0	Myrmicinae	Solenopsidini	Austromorium		
Austroponera_castanea	0	Ponerinae	Ponerini	Austroponera		
Axinidris_mlalu	0	Dolichoderinae	Tapinomini	Axinidris		
Axinidris_murielae	0	Dolichoderinae	Tapinomini	Axinidris		
Azteca_instabilis	0	Dolichoderinae	Leptomyrmecini	Azteca		
Azteca_ovaticeps	0	Dolichoderinae	Leptomyrmecini	Azteca		
Azteca_schimperi	0	Dolichoderinae	Leptomyrmecini	Azteca		
Azteca_sp	0	Dolichoderinae	Leptomyrmecini	Azteca		
Baracidris_sitra	0	Myrmicinae	Solenopsidini	Baracidris		
Bariamyrma_hispidula	0	Myrmicinae	Solenopsidini	Bariamyrma		
Basiceros_manni	0	Myrmicinae	Attini	Basiceros		
Blepharidatta_conops	0	Myrmicinae	Attini	Blepharidatta		
Bothriomyrmex_meridionalis	0	Dolichoderinae	Bothriomyrmecini	Bothriomyrmex		
Bothriomyrmex_paradoxus	0	Dolichoderinae	Bothriomyrmecini	Bothriomyrmex		
Bothriomyrmex_saundersi	0	Dolichoderinae	Bothriomyrmecini	Bothriomyrmex		
Bothroponera_variolosa	0	Dolichoderinae	Bothriomyrmecini	Bothroponera		
Bothroponera_wasmannii	0	Dolichoderinae	Bothriomyrmecini	Bothroponera		
Brachymyrmex_depilis	0	Formicinae	Myrmelachistini	Brachymyrmex		
Brachymyrmex_sp	0	Formicinae	Myrmelachistini	Brachymyrmex		
Brachyponera_atrata	0	Ponerinae	Ponerini	Brachyponera		
Brachyponera_chinensis	0	Ponerinae	Ponerini	Brachyponera		
Brachyponera_sennaarensis	0	Ponerinae	Ponerini	Brachyponera		
Buniapone_amblyops	0	Ponerinae	Ponerini	Buniapone		
Calomyrmex_albertisi	0	Formicinae	Camponotini	Calomyrmex		
Calyptomyrmex_beccari	0	Myrmicinae	Crematogastrini	Calyptomyrmex		
Calyptomyrmex_kaurus	0	Myrmicinae	Crematogastrini	Calyptomyrmex		
Camponotus_BCA01	0	Formicinae	Camponotini	Camponotus		
Camponotus_conithorax	0	Formicinae	Camponotini	Camponotus		
Camponotus_hyatti	0	Formicinae	Camponotini	Camponotus		
Camponotus_maritimus	0	Formicinae	Camponotini	Camponotus		
Camponotus_ocreatus	0	Formicinae	Camponotini	Camponotus		
Cardiocondyla_emeryi	0	Myrmicinae	Crematogastrini	Cardiocondyla		
Cardiocondyla_mauritanica	0	Myrmicinae	Crematogastrini	Cardiocondyla		
Cardiocondyla_MY01	0	Myrmicinae	Crematogastrini	Cardiocondyla		
Cardiocondyla_thoracica	0	Myrmicinae	Crematogastrini	Cardiocondyla		
Carebara_affinis	0	Myrmicinae	Crematogastrini	Carebara		
Carebara_alperti	0	Myrmicinae	Crematogastrini	Carebara		
Carebara_AU01	0	Myrmicinae	Crematogastrini	Carebara		
Carebara_nosindambo	0	Myrmicinae	Crematogastrini	Carebara		
Carebara_sp	0	Myrmicinae	Crematogastrini	Carebara		
Carebara_sp_2	0	Myrmicinae	Crematogastrini	Carebara		
Carebara_sp_3	0	Myrmicinae	Crematogastrini	Carebara		
