taxon	age
Acanthoponera_minor	0
Amblyopone_pallipes	0
Aneuretus_sp	0
Anomalomyrma_sp	0
Apomyrma_stygia	0
Brownimecia_clavata	93.9
Camelomecia_janovitzi	99.6
Cerapachys_sexspinus	0
Chalybion_californicum	0
Chyphotes_mellipes	0
Formica_fusca	15.97
Gerontoformica_gracilis	99.6
Gerontoformica_magnus	99.6
Gerontoformica_pilosus	99.6
Gerontoformica_spiralis	99.6
Haidomyrmex_scimitarus	99.6
Haidomyrmodes_mammuthus	105.3
Haidoterminus_cippus	83.5
Heterogyna_sp	0
Hypoponera_opacior	0
Kyromyrma_sp	0
Lasius_californicus	0
Leptanilla_swani	0
Leptanilloides_nomada	0
Leptogenys_diminuta	0
Martialis_heureka	0
Metapolybia_cingulata	0
Myanmyrma_gracilis	99.6
Myrmecia_nigriceps	0
Myrmica_americana	0
Nothomyrmecia_macrops	0
Opamyrma_hungvuong	0
Paraponera_clavata	0
Platythyrea_punctata	0
Pogonomyrmex_californicus	0
Proceratium_stictum	0
Scolia_verticalis	0
Sphecomyrma_freyi	93.9
Tatuidris_tatusia	0
Tetraponera_punctulata	0
Zigrasimecia_sp	0
Adetomyrma_sp.	0
Amblyopone_armigera	0
Amblyopone_australis	0
Amblyopone_mercovichi	0
Amblyopone_mystriops	0
Amblyopone_pluto	0
Amblyopone_mutica	0
Concoctio_concenta	0
Myopopone_castanea	0
Mystrium_voeltzkowi	0
Onychomyrmex_doddi	0
Prionopelta_aethiopica	0
Prionopelta_antillana	0
Ectatomma_tuberculatum	0
Gnamptogenys_annulata	0
Gnamptogenys_striatula	0
Gnamptogenys_bufonis	0
Gnamptogenys_minuta	0
Rhytidoponera_confusa	0
Typhlomyrmex_pusillus	0
Typhlomyrmex_rogenhoferi	0
Heteroponera_brouni	0
Heteroponera_relicta	0
Platythyrea_turneri	0
Anochetus_emarginatus	0
Odontomachus_bauri	0
Asphinctopone_silvestrii	0
Belonopelta_deletrix	0
Centromyrmex_brachycola	0
Cryptopone_gilva	0
Diacamma_ceylonense	0
Dinoponera_lucida	0
Dolioponera_fustigera	0
Emeryopone_buttelreepeni	0
Harpegnathos_saltator	0
Hypoponera_sp.	0
Leptogenys_sp._1	0
Leptogenys_sp._2	0
Leptogenys_podenzanai	0
Loboponera_obeliscata	0
Loboponera_vigilans	0
Myopias_maligna	0
Odontoponera_transversa	0
Pachycondyla_apicalis	0
Pachycondyla_berthoudi	0
Pachycondyla_crassinoda	0
Pachycondyla_croceicornis	0
Pachycondyla_guianensis	0
Pachycondyla_marleyi	0
Pachycondyla_pachyderma	0
Pachycondyla_porcata	0
Pachycondyla_stigma	0
Pachycondyla_tarsata	0
Pachycondyla_villosa	0
Phrynoponera_gabonensis	0
Plectroctena_strigosa	0
Ponera_alpha	0
Ponera_pennsylvanica	0
Psalidomyrmex_procerus	0
Simopelta_oculata	0
Streblognathus_peetersi	0
Thaumatomyrmex_atrox	0
Discothyrea_oculata	0
Discothyrea_testacea	0
Proceratium_croceum	0
Proceratium_pergandei	0
Probolomyrmex_guineensis	0
Aneuretus_simoni	0
Leptomyrmex_pallens	0
Iridomyrmex_purpureus	0
Dolichoderus_laminatus	0
Tapinoma_erraticum	0
Technomyrmex_albipes	0
Gesomyrmex_luzonensis	0
Oecophylla_smaragdina	0
Myrmecia_nigriscapa	0
Manica_rubida	0
Pogonomyrmex_barbatus	0
Metapone_madagascarica	0
Pseudomyrmex_gracilis	0
Tetraponera_aethiops	0
Tetraponera_attenuata	0
Acanthostichus_serratulus	0
Cerapachys_nitidulus	0
Cerapachys_doryloides	0
Cylindromyrmex_brevitarsus	0
Simopone_schoutedeni	0
Leptanilliodes_biconstricta	0
Dorylus_helvolus	0
Aenictus_binghami	0
Cheliomyrmex_morosus	0
Labidus_coecus	0
Eciton_hamatum	0
Scolia_nobilitata	0
