taxon	min_yr	max_yr
Leptomyrmula_maravignae	5.333	11.608
Rhytidoponera_gibsoni	20.44	23.03
Formica_orbata	11.608	12.7
Myrmeciites_tabanifluviensis	47.8	56.
Aphaenogaster_archaica	23.03	28.4
Anochetus_ambiguus	13.82	20.44
Proceratium_petrosum	33.9	38.
Cretomyrma_arnoldii	83.5	85.8
Brownimecia_clavata	89.8	93.9
Camelomecia_janovitzi	98.17	99.41
Gerontoformica_gracilis	93.5	99.6
Gerontoformica_magnus	93.5	99.6
Gerontoformica_pilosus	93.5	99.6
Gerontoformica_spiralis	93.5	99.6
Haidomyrmex_scimitarus	93.5	99.6
Haidomyrmodes_mammuthus	98.0	100.0
Haidoterminus_cippus	78.0	79.0
Kyromyrma_sp	89.8	93.9
Myanmyrma_gracilis	93.5	99.6
Sphecomyrma_freyi	79.0	92.0
Zigrasimecia_sp	98.17	99.41
