,SpecimenName,min_yr,max_yr,SubFamily,Tribe,Genus,Reference,Amber Locale
28,Archimyrmex_wedmannae,40.4,48.6,Myrmeciinae,,Archimyrmex," G. M. Dlussky. 2012. New fossil ants of the subfamily Myrmeciinae (Hymenoptera, Formicidae) from Germany. Paleontological Journal 46:288-292",German
27,Archimyrmex_rostratus,46.2,50.3,Myrmeciinae,,Archimyrmex," G. M. Dlussky. 2012. New fossil ants of the subfamily Myrmeciinae (Hymenoptera, Formicidae) from Germany. Paleontological Journal 46:288-292	German",Colorado
126,Dolichoderus_obliteratus,23.03,33.9,Dolichoderinae,,Dolichoderus, S. H. Scudder. 1877. The insects of the Tertiary beds at Quesnel (British Colombia). Report of Progress of the Geological Survey of Canada 1875-1876 266-280,Canada
272,Lonchomyrmex_nigritus,5.333,11.608,Myrmicinae,Crematogastrini,Lonchomyrmex,A. Assmann. 1870. Beiträge zur Insekten-Fauna der Vorwelt. I. Beitrag. Die fossilen Insekten des tertiären (miocenen) Thonlagers von Schossnitz bei Kanth. Zeitschrift für Entomologie 1:33-58 ,Poland
20,Aphaenogaster_dlusskyana,41.3,47.8,Myrmicinae,Stenammini,Aphaenogaster,"A. G. Radchenko and E. E. Perkovsky. 2016. The ant Aphaenogaster dlusskyana sp. nov. (Hymenoptera, Formicidae) from the Sakhalin amber - the earliest described species of an extant genus of Myrmicinae. Paleontological Journal 50:936-946","Lutentian, Russia"
115,Dlusskyidris_zherichini,83.5,85.8,,,Dlusskyidris,A. P. Rasnitsyn. 1975. Hymenoptera Apocrita of Mesozoic. Transactions of the Palaeontological Institute Academy of Sciences of the USSR 147:1-134,Russia
44,Boltonidris_mirabilis,33.9,38,Myrmicinae,,Boltonidris,"A. Radchenko and G. M. Dlussky. 2012. Boltonidris gen. nov., the first extinct Stenammini ant genus (Hymenoptera, Formicidae) from the late Eocene Rovno amber. Annales Zoologici 62:627-631",Ukraine
42,Bilobomyrma_baltica,33.9,38,Myrmicinae,,Bilobomyrma,"A. Radchenko and G. M. Dlussky. 2013. Bilobomyrma new genus, a new extinct ant genus (Hymenoptera, Formicidae) from the late Eocene European ambers. Journal of Paleontology 87:1060-1066",Ukraine
43,Bilobomyrma_ukrainica,33.9,38,Myrmicinae,,Bilobomyrma,"A. Radchenko and G. M. Dlussky. 2013. Bilobomyrma new genus, a new extinct ant genus (Hymenoptera, Formicidae) from the late Eocene European ambers. Journal of Paleontology 87:1060-1066",Ukraine
363,Ponerites_hooleyi,33.9,38,Ponerinae,Ponerini,Ponerites,"A. V. Antropov, S. A. Belokobylskij, S. G. Compton, G. M. Dlussky, A. I. Khalaim, V. A. Kolyada, M. A. Kozlov, K. S. Perfilieva, and A. P. Rasnitsyn. 2014. The wasps, bees and ants (Insecta: Vespida=Hymenoptera) from the Insect Limestone (Late Eocene) of the Isle of Wight, UK. Earth and Environmental Science Transactions of the Royal Society of Edinburgh 104:335-446",Isle of Wight
435,Titanomyrma_lubei,46.2,50.3,Formiciinae,,Titanomyrma,"Archibald, S. Bruce; Johnson, Kirk R.; Mathewes, Rolf W.; Greenwood, David R. ""Intercontinental dispersal of giant thermophilic ants across the Arctic during early Eocene hyperthermals"". Proceedings of the Royal Society B. doi:10.1098/rspb.2011.0729 ",US
342,Platythyrea_dlusskyi,48.6,55.8,Ponerinae,Platythyreini,Platythyrea,"Aria, C., Perrichot, V. & Nel, A. 2011. Fossil Ponerinae in Early Eocene amber in France. Zootaxa 2870: 53-62",France
247,Lasius_oblongus,5.333,11.608,Formicinae,Lasiini,Lasius,"Assmann, A. 1870. Beiträge zur Insekten-Fauna der Vorwelt. I. Beitrag. Die fossilen Insekten des tertiären (miocenen) Thonlagers von Schossnitz bei Kanth. Z. Entomol. (Breslau) (N.F.) 1: 33-58 (page 38, pl. 1, fig. 1 wing described)",Germany
30,Attopsis_longipennis,11.608,12.7,Formicinae,,Attopsis,"B. Förster. 1891. Die Insekten der ""Plattigen Steinmergels"" von Brunstatt. Abhandlungen zur Geologischen Specialkarte von Elsass-Lothringen, Band 3 1:335-593",France
