taxon	clade
Anomalomyrma_sp	Protanilla_JAP01
Anomalomyrma_sp	Leptanilla_RSA01
Kyromyrma_sp	Brownimecia_clavata
Zigrasimecia_sp	Sphecomyrma_freyi
Belonopelta_deletrix	Pachycondyla_sp_Mal2
Gesomyrmex_luzonensis	Formica_moki
Heterogyna_sp	Scolia_verticalis
Opamyrma_hungvuong	Leptanilla_RSA01
Opamyrma_hungvuong	Protanilla_JAP01
Asphinctopone_silvestrii	Dinoponera_gigantea
Dolioponera_fustigera	Dinoponera_gigantea
Leptanilliodes_biconstricta	Eciton_hamatum
Myanmyrma_gracilis	Myanmyrma
Sphecomyrma_freyi	Martialis_heureka
Afropone_oculata	Pachycondyla_crassinoda
Afropone_oculata	Mesoponera_rubra
Alloiomma_changweiensis	Tapinoma_opacum
Archimyrmex_piatnitzkyi	Myrmecia_fulviculis
Attopsis_longipennis	Formica_moki
Attopsis_longipennis	Formica_moki
Attopsis_longipennis	Nylanderia_dodo
Attopsis_longipennis	Camponotus_hyatti
Bradoponera_wunderlichi	Discothyrea_sp
Britaneuretus_anglicus	Aneuretus_simoni
Canapone_dentata	Ectatomma_opaciventre
Casaleia_eocenica	Amblyopone_australis
Ceratomyrmex_ellenbergeri	Martialis_heureka
Eulithomyrmex_rugosus	Tatuidris_tatusia
Formicium_berryi	Leptanilla_sp
Formicium_berryi	Martialis_heureka
Formicium_berryi	Heteroponera_panamensis
Anomalomyrma_sp	Protanilla_JAP01
Anomalomyrma_sp	Leptanilla_RSA01
Kyromyrma_sp	Brownimecia_clavata
Zigrasimecia_sp	Sphecomyrma_freyi
Belonopelta_deletrix	Pachycondyla_sp_Mal2
Gesomyrmex_luzonensis	Formica_moki
Heterogyna_sp	Scolia_verticalis
Opamyrma_hungvuong	Leptanilla_RSA01
Opamyrma_hungvuong	Protanilla_JAP01
Asphinctopone_silvestrii	Dinoponera_gigantea
Dolioponera_fustigera	Dinoponera_gigantea
Leptanilliodes_biconstricta	Eciton_hamatum
