taxon,age
Gerontoformica_gracilis,99.6
Cretomyrma_arnoldii,86.3
Canapone_dentata,83.5
Curtipalpulus_eocenicus,55.8
Myrmeciites_tabanifluviensis,56.0
Ponerinae,56.0
Protazteca_eocenica,47.8
Pachycondyla_labandeirai,50.3
Ponerites_coloradensis,50.3
Chimaeromyrma_brachycephala,47.8
Protopone_sepulta,48.6
Solenopsis_maxima,33.9
Camponotus_novotnyi,33.9
Paraphaenogaster_hooleyana,38.0
Mianeuretus_mirabilis,37.2
Gesomyrmex_incertus,38.0
Formica_surinamensis,38.0
Protoformica_proformicoides,38.0
Dolichoderus_vectensis,38.0
Dolichoderus_explicans,33.9
Electroponera_dubia,38.0
Agroecomyrmex_duisburgi,38.0
Temnothorax_glaesarius,38.0
Dolichoderus_kutschlinicus,37.2
Protazteca_hendersoni,37.2
Tetraponera_klebsi,33.9
Oecophylla_brischkei,38.0
Pheidole_cordata,38.0
Iridomyrmex,41.3
Emplastus_elongatus,38.0
Temnothorax_gracilis,38.0
Ponera_elegantissima,28.4
Discothyrea_maya,23.03
Dolichoderus_balticus,28.1
Apterostigma_electropilosum,20.44
Emplastus_miocenicus,12.7
Dolichoderus_prolaminatus,20.44
Camponotus_heracleus,12.7
Camponotus_lignitus,12.7
Formica_ovala,15.97
Poneropsis_longaeva,12.7
Aphaenogaster_paludosa,15.97
Camponotus_induratus,12.7
Acanthognathus_poinari,20.44
Formica_demersa,12.7
Pseudomyrmex_macrops,20.44
Dolichoderus_lacinius,15.97
Neivamyrmex_ectopus,20.44
Azteca_eumeces,20.44
Cephalotes_hispaniolicus,20.44
Cephalotes_dieteri,20.44
Cataulacus,12.7
Elaphrodites_mutatus,15.97
Anochetus_brevidentatus,20.44
Formica_maculipennis,7.246
Camponotus_herculeanus,2.588
Solenopsis,8.7
