taxon,subfamily,genus,max_ma,age
Gerontoformica_gracilis,Sphecomyrinae,Gerontoformica,99.6,99.6
Cretomyrma_arnoldii,Sphecomyrminae,Cretomyrma,86.3,86.3
Canapone_dentata,Ectatomminae,Canapone,83.5,83.5
Curtipalpulus_eocenicus,Formicinae,Curtipalpulus,55.8,55.8
Myrmeciites_tabanifluviensis,Myrmiciinae,Myrmeciites,56.0,56.0
Ponerinae,Ponerinae,None,56.0,56.0
Protazteca_eocenica,Dolichoderinae,Protazteca,47.8,47.8
Pachycondyla_labandeirai,Ponerinae,Pachycondyla,50.3,50.3
Ponerites_coloradensis,Ponerinae,Ponerites,50.3,50.3
Chimaeromyrma_brachycephala,Formicinae,Chimaeromyrma,47.8,47.8
Protopone_sepulta,Ponerinae,Protopone,48.6,48.6
Solenopsis_maxima,Mymicinae,Solenopsis,33.9,33.9
Camponotus_novotnyi,Formicinae,Camponotus,33.9,33.9
Paraphaenogaster_hooleyana,Myrmicinae,Paraphaenogaster,38.0,38.0
Mianeuretus_mirabilis,Aneuretinae,Mianeuretus,37.2,37.2
Gesomyrmex_incertus,Formicinae,Gesomyrmex,38.0,38.0
Formica_surinamensis,Formicinae,Formica,38.0,38.0
Protoformica_proformicoides,Formicinae,Protoformica,38.0,38.0
Dolichoderus_vectensis,Dolichoderinae,Dolichoderus,38.0,38.0
Dolichoderus_explicans,Dolichoderinae,Dolichoderus,33.9,33.9
Electroponera_dubia,Myrmicinae,Electroponera,38.0,38.0
Agroecomyrmex_duisburgi,Agroecomyrmecinae,Agroecomyrmex,38.0,38.0
Temnothorax_glaesarius,Myrmicinae,Temnothorax,38.0,38.0
Dolichoderus_kutschlinicus,Dolichoderinae,Dolichoderus,37.2,37.2
Protazteca_hendersoni,Dolichoderinae,Protazteca,37.2,37.2
Tetraponera_klebsi,Pseudomyrmecinae,Tetraponera,33.9,33.9
Oecophylla_brischkei,Formicinae,Oecophylla,38.0,38.0
Pheidole_cordata,Myrmicinae,Pheidole,38.0,38.0
Iridomyrmex,Dolichoderinae,Iridomyrmex,41.3,41.3
Emplastus_elongatus,Dolichoderinae,Emplastus,38.0,38.0
Temnothorax_gracilis,Myrmicinae,Temnothorax,38.0,38.0
Ponera_elegantissima,Ponerinae,Ponera,28.4,28.4
Discothyrea_maya,Proceratiinae,Discothyrea,23.03,23.03
Dolichoderus_balticus,Dolichoderinae,Dolichoderus,28.1,28.1
Apterostigma_electropilosum,Myrmicinae,Apterostigma,20.44,20.44
Emplastus_miocenicus,Dolichoderinae,Emplastus,12.7,12.7
Dolichoderus_prolaminatus,Dolichoderinae,Dolichoderus,20.44,20.44
Camponotus_heracleus,Formicinae,Camponotus,12.7,12.7
Camponotus_lignitus,Formicinae,Camponotus,12.7,12.7
Formica_ovala,Formicinae,Formica,15.97,15.97
Poneropsis_longaeva,Ponerinae,Poneropsis,12.7,12.7
Aphaenogaster_paludosa,Myrmicinae,Aphaenogaster,15.97,15.97
Camponotus_induratus,Formicinae,Camponotus,12.7,12.7
Acanthognathus_poinari,Myrmicinae,Acanthognathus,20.44,20.44
Formica_demersa,Formicinae,Formica,12.7,12.7
Pseudomyrmex_macrops,Pseudomyrmecinae,Pseudomyrmex,20.44,20.44
Dolichoderus_lacinius,Dolichoderinae,Dolichoderus,15.97,15.97
Neivamyrmex_ectopus,Dorylinae,Neivamyrmex,20.44,20.44
Azteca_eumeces,Dolichoderinae,Azteca,20.44,20.44
Cephalotes_hispaniolicus,Myrmicinae,Cephalotes,20.44,20.44
Cephalotes_dieteri,Myrmicinae,Cephalotes,20.44,20.44
Cataulacus,Myrmicinae,Cataulacus,12.7,12.7
Elaphrodites_mutatus,Dolichoderinae,Elaphrodites,15.97,15.97
Anochetus_brevidentatus,Ponerinae,Anochetus,20.44,20.44
Formica_maculipennis,Formicinae,Formica,7.246,7.246
Camponotus_herculeanus,Formicinae,Camponotus,2.588,2.588
Solenopsis,Mymicinae,Solenopsis,8.7,8.7
