,SpecimenName,min_yr,max_yr,SubFamily,Tribe,Genus
0,Acanthognathus poinari,13.82,20.44,Myrmicinae,Attini,Acanthognathus
1,Acanthostichus hispaniolicus,13.82,20.44,Dorylinae,,Acanthostichus
2,Afromyrma petrosa,89.8,93.9,Myrmicinae,,Afromyrma
3,Afropone oculata,89.8,93.9,Ponerinae,,Afropone
4,Afropone orapa,89.8,93.9,Ponerinae,,Afropone
5,Agastomyrma laticeps,33.9,38.,Myrmicinae,,Agastomyrma
6,Alloiomma changweiensis,15.97,20.44,Dolichoderinae,,Alloiomma
7,Alloiomma differentialis,15.97,20.44,Dolichoderinae,,Alloiomma
8,Amblyoponini,20.44,23.03,,,
9,Anochetus ambiguus,13.82,20.44,Ponerinae,Ponerini,Anochetus
10,Anochetus brevidentatus,13.82,20.44,Ponerinae,Ponerini,Anochetus
11,Anochetus conisquamis,13.82,20.44,Ponerinae,Ponerini,Anochetus
12,Anochetus corayi,13.82,20.44,Ponerinae,Ponerini,Anochetus
13,Anochetus dubius,13.82,20.44,Ponerinae,Ponerini,Anochetus
14,Anochetus exstinctus,13.82,20.44,Ponerinae,Ponerini,Anochetus
15,Anochetus intermedius,13.82,20.44,Ponerinae,Ponerini,Anochetus
16,Anochetus lucidus,13.82,20.44,Ponerinae,Ponerini,Anochetus
17,Aphaenogaster, 5.333 20.44 , 7.246 23.03 ,Myrmicinae,Stenammini,
18,Aphaenogaster amphioceanica,13.82,20.44,Myrmicinae,Stenammini,Aphaenogaster
19,Aphaenogaster archaica,23.03,28.4,Myrmicinae,Stenammini,Aphaenogaster
20,Aphaenogaster dlusskyana,41.3,47.8,Myrmicinae,Stenammini,Aphaenogaster
21,Aphaenogaster donisthorpei,33.9,37.2,Myrmicinae,Stenammini,Aphaenogaster
22,Aphaenogaster mayri,33.9,37.2,Myrmicinae,Stenammini,Aphaenogaster
23,Aphaenogaster praerelicta,15.97,23.03,Myrmicinae,Stenammini,Aphaenogaster
24,Apterostigma electropilosum,13.82,20.44,Myrmicinae,Attini,Apterostigma
25,Apterostigma eowilsoni,13.82,20.44,Myrmicinae,Attini,Apterostigma
26,Archimyrmex piatnitzkyi,41.3,47.8,Myrmeciinae,,Archimyrmex
27,Archimyrmex rostratus,46.2,50.3,Myrmeciinae,,Archimyrmex
28,Archimyrmex wedmannae,40.4,48.6,Myrmeciinae,,Archimyrmex
29,Archiponera wheeleri,33.9,37.2,Ponerinae,Ponerini,Archiponera
30,Attopsis longipennis,11.608,12.7,Formicinae,,Attopsis
31,Attopsis longipes,11.608,12.7,Formicinae,Oecophyllini,Oecophylla
32,Austroponera schneideri,20.44,23.03,Ponerinae,Ponerini,Austroponera
33,Avitomyrmex elongatus,47.8,56.,Myrmeciinae,,Avitomyrmex
34,Avitomyrmex mastax,47.8,56.,Myrmeciinae,,Avitomyrmex
35,Avitomyrmex systenus,47.8,56.,Myrmeciinae,,Avitomyrmex
36,Baikuris mandibularis,93.5,105.3,,,Baikuris
37,Baikuris maximus,99.6,105.3,,,Baikuris
38,Baikuris mirabilis,93.5,105.3,,,Baikuris
39,Biamomyrma lata,33.9,38.,Myrmicinae,,Biamomyrma
40,Biamomyrma rugosa,33.9,38.,Myrmicinae,,Biamomyrma
41,Biamomyrma zherikhini,33.9,38.,Myrmicinae,,Biamomyrma
42,Bilobomyrma baltica,33.9,38.,Myrmicinae,,Bilobomyrma
43,Bilobomyrma ukrainica,33.9,38.,Myrmicinae,,Bilobomyrma
44,Boltonidris mirabilis,33.9,38.,Myrmicinae,,Boltonidris
45,Bradoponera wunderlichi,33.9,38.,Proceratiinae,Proceratiini,Bradoponera
46,Britaneuretus anglicus,33.9,38.,Aneuretinae,,Britaneuretus
47,Brownimecia clavata,89.8,93.9,Brownimeciinae,,Brownimecia
48,Calyptites antediluvianum,23.03,33.9,,,Calyptites
49,Camponotites kraussei,47.8,56.,,,
50,Camponotites silvestris,2.588,3.6,Formicinae,,Camponotites
51,Camponotites steinbachi,2.588,3.6,Formicinae,,Camponotites
52,Camponotites xiejiaheensis,15.97,20.44,Formicinae,,Camponotites
53,Camponotus,11.608,12.7,Formicinae,Camponotini,
54,Camponotus ambon,15.97,20.44,Formicinae,Camponotini,Camponotus
55,Camponotus ampullosus,15.97,20.44,Formicinae,Camponotini,Camponotus
56,Camponotus cockerelli,33.9,38.,Formicinae,,Camponotus
57,Camponotus compactus,28.4,33.9,Formicinae,Camponotini,Camponotus
58,Camponotus crozei,5.333,8.7,Formicinae,Camponotini,Camponotus
59,Camponotus curviansatus,15.97,20.44,Formicinae,Camponotini,Camponotus
60,Camponotus fuscipennis,33.9,37.2,Formicinae,Camponotini,Camponotus
61,Camponotus gracilis,15.97,20.44,Formicinae,Camponotini,Camponotus
62,Camponotus heracleus,11.608,12.7,Formicinae,Camponotini,Camponotus
63,Camponotus induratus,11.608,12.7,Formicinae,Camponotini,Camponotus
64,Camponotus lignitus,11.608,12.7,Formicinae,Camponotini,Camponotus
65,Camponotus longus,15.97,20.44,Formicinae,Camponotini,Camponotus
66,Camponotus microcephalus,33.9,37.2,Formicinae,Camponotini,Camponotus
67,Camponotus microthoracus,15.97,20.44,Formicinae,Camponotini,Camponotus
68,Camponotus novotnyi,28.1,33.9,Formicinae,Camponotini,Camponotus
69,Camponotus obesus,7.246,11.62,Formicinae,Camponotini,Camponotus
70,Camponotus palaeopterus,15.97,20.44,Formicinae,Camponotini,Camponotus
71,Camponotus petrifactus,33.9,37.2,Formicinae,Camponotini,Camponotus
72,Camponotus pictus,15.97,20.44,Formicinae,Camponotini,Camponotus
73,Camponotus pinguiculus,11.608,12.7,Formicinae,Camponotini,Camponotus
74,Camponotus plenus,15.97,20.44,Formicinae,Camponotini,Camponotus
75,Camponotus shanwangensis,15.97,20.44,Formicinae,Camponotini,Camponotus
76,Camponotus ullrichi,5.333,7.246,Formicinae,Camponotini,Camponotus
77,Camponotus vehemens,28.4,33.9,Formicinae,Camponotini,Camponotus
78,Camponotus vetus,46.2,50.3,Formicinae,Camponotini,Camponotus
79,Cananeuretus occidentalis,70.6,83.5,Aneuretinae,,Cananeuretus
80,Canapone dentata,70.6,83.5,Ectatomminae,,Canapone
81,Carebara antiqua,2.588,3.6,Myrmicinae,Crematogastrini,Carebara
82,Carebara bohemica,15.97,16.9,Myrmicinae,Crematogastrini,Carebara
83,Carebara rugiceps,11.608,12.7,Myrmicinae,Crematogastrini,Carebara
84,Carebara schossnicensis,5.333,11.608,Myrmicinae,Crematogastrini,Carebara
85,Carebara sophiae,5.333,11.608,Myrmicinae,Crematogastrini,Carebara
86,Carebara thorali,23.03,28.1,Myrmicinae,Crematogastrini,Carebara
87,Casaleia eocenica,40.4,48.6,Amblyoponinae,,Casaleia
88,Casaleia longiventris,11.608,12.7,Amblyoponinae,,Casaleia
89,Casaleia orientalis,33.9,38.,Amblyoponinae,,Casaleia
90,Cataulacus planiceps,5.333,11.608,Myrmicinae,Crematogastrini,Cataulacus
91,Cataulacus plebeius,15.97,20.44,Myrmicinae,Crematogastrini,Cataulacus
92,Cataulacus silvestrii,5.333,11.608,Myrmicinae,Crematogastrini,Cataulacus
93,Cephalomyrmex rotundatus,33.9,37.2,Myrmicinae,,Cephalomyrmex
94,Cephalopone grandis,40.4,48.6,Ponerinae,,Cephalopone
95,Cephalopone potens,40.4,48.6,Ponerinae,,Cephalopone
96,Cephalotes alveolatus,13.82,20.44,Myrmicinae,Attini,Cephalotes
97,Cephalotes integerrimus,13.82,20.44,Myrmicinae,Attini,Cephalotes
98,Cephalotes jansei,13.82,20.44,Myrmicinae,Attini,Cephalotes
99,Cephalotes obscurus,13.82,20.44,Myrmicinae,Attini,Cephalotes
100,Cephalotes serratus,13.82,20.44,Myrmicinae,Attini,Cephalotes
101,Cephalotes squamosus,13.82,20.44,Myrmicinae,Attini,Cephalotes
102,Cephites fragilis,11.608,12.7,,,
103,Cephites oeningensis,11.608,12.7,,,
104,Ceratomyrmex ellenbergeri,93.5,99.6,Sphecomyrminae,Haidomyrmecini,Ceratomyrmex
105,Cretomyrma arnoldii,83.5,85.8,Sphecomyrminae,Sphecomyrmini,Cretomyrma
