taxon,author,SubFamily,Tribe,Genus,Age,Fossil?,notes
Acanthomyrmex_ferox,,Myrmicinae,Crematogastrini,Acanthomyrmex,NA,NA,
Acanthoponera_minor,,Heteroponerinae,,Acanthoponera,NA,NA,
Acanthostichus_davisi,,Dorylinae,,Acanthostichus,NA,NA,
Acanthostichus_kirbyi,,Dorylinae,,Acanthostichus,NA,NA,
Acanthostichus_punctiscapus,,Dorylinae,,Acanthostichus,NA,NA,
Acromyrmex_versicolor,,Myrmicinae,Attini,Acromyrmex,NA,NA,
Acropyga_acutiventris,,Formicinae,Plagiolepidini,Acropyga,NA,NA,
Acropyga_epedana,,Formicinae,Plagiolepidini,Acropyga,NA,NA,
Adelomyrmex_paratristani,,Myrmicinae,Solenopsidini,Adelomyrmex,NA,NA,
Adlerzia_froggatti,,Myrmicinae,Crematogastrini,Adlerzia,NA,NA,
Aenictus_ceylonicus,,Dorylinae,,Aenictus,NA,NA,
Aenictus_eugenii,,Dorylinae,,Aenictus,NA,NA,
Aenictus,,Dorylinae,,,NA,NA,
Aenictus_turneri,,Dorylinae,,Aenictus,NA,NA,
Allomerus_octoarticulatus,,Myrmicinae,Attini,Allomerus,NA,NA,
Amblyopone_australis,,Amblyoponinae,,Amblyopone,NA,NA,
Ancyridris_polyrhachioides,,Myrmicinae,Crematogastrini,Ancyridris,NA,NA,
Aneuretus_simoni,,Aneuretinae,,Aneuretus,NA,NA,
Anillomyrma_decamera,,Myrmicinae,Solenopsidini,Anillomyrma,NA,NA,
Ankylomyrma_coronacantha,,Agroecomyrmecinae,,Ankylomyrma,NA,NA,
Anochetus_emarginatus,,Ponerinae,Ponerini,Anochetus,NA,NA,
Anochetus_madagascarensis,,Ponerinae,Ponerini,Anochetus,NA,NA,
Anochetus_mayri,,Ponerinae,Ponerini,Anochetus,NA,NA,
Anonychomyrma_gilberti,,Dolichoderinae,,Anonychomyrma,NA,NA,
Anonychomyrma_itinerans,,Dolichoderinae,,Anonychomyrma,NA,NA,
Anonychomyrma_nitidiceps,,Dolichoderinae,,Anonychomyrma,NA,NA,
Aphaenogaster_araneoides,,Myrmicinae,Stenammini,Aphaenogaster,NA,NA,
Aphaenogaster_occidentalis,,Myrmicinae,Stenammini,Aphaenogaster,NA,NA,
Aphaenogaster_pythia,,Myrmicinae,Stenammini,Aphaenogaster,NA,NA,
Aphaenogaster_swammerdami,,Myrmicinae,Stenammini,Aphaenogaster,NA,NA,
Aphaenogaster_texana,,Myrmicinae,Stenammini,Aphaenogaster,NA,NA,
