taxon	min_yr	max_yr
Ceratomyrmex_ellenbergeri	93.5	99.6
Pseudomyrmex_saxulum	41.3	47.8
Bradoponera_wunderlichi	33.9	38
Afropone_oculata	89.8	93.9
Paraponera_dieteri	13.82	20.44
Afromyrma_petrosa	89.8	93.9
Avitomyrmex_elongatus	47.8	56
Kyromyrma_neffi	89.8	93.9
Titanomyrma_lubei	46.2	50.3
Canapone_dentata	70.6	83.5
Acanthostichus_hispaniolicus	13.82	20.44
Eotapinoma_macalpini	70.6	83.5
Brownimecia_clavata	89.8	93.9
Cananeuretus_occidentalis	70.6	83.5
Casaleia_eocenica	40.4	48.6
Eulithomyrmex_rugosus	33.9	37.2
Baikuris_mandibularis	93.5	105.3
