taxon	min_yr	max_yr
Eulithomyrmex_rugosus	33.9	37.2
Casaleia_longiventris	11.608	12.7
Mianeuretus_mirabilis	33.9	37.2
Brownimecia_clavata	89.8	93.9
Leptomyrmula_maravignae	5.333	11.608
Lioponera_suscitata	0	0.0117
Ectatomma_gracile	5.333	11.608
Formicium_brodiei	33.9	38
Polyrhachis_cincta	0	0.0117
Prionomyrmex_wappleri	23.03	28.4
Pheidole_rasnitsyni	0	0.0117
Paraponera_dieteri	13.82	20.44
Ponera_leptocephala	5.333	11.608
Discothyrea_gigas	13.82	20.44
Pseudomyrmex_extinctus	33.9	37.2
Cretomyrma_arnoldii	83.5	85.8
