taxon	min_yr	max_yr
Acanthognathus_poinari	13.82	20.44
Acanthostichus_hispaniolicus	13.82	20.44
Afromyrma_petrosa	89.8	93.9
Afropone_oculata	89.8	93.9
Agastomyrma_laticeps	33.9	38
Alloiomma_changweiensis	15.97	20.44
Anochetus_ambiguus	13.82	20.44
Aphaenogaster_amphioceanica	13.82	20.44
Apterostigma_electropilosum	13.82	20.44
Archimyrmex_piatnitzkyi	41.3	47.8
Archiponera_wheeleri	33.9	37.2
Attopsis_longipennis	11.608	12.7
Austroponera_schneideri	20.44	23.03
Avitomyrmex_elongatus	47.8	56
Baikuris_mandibularis	93.5	105.3
Biamomyrma_lata	33.9	38
Bilobomyrma_ukrainica	33.9	38
Boltonidris_mirabilis	33.9	38
Bradoponera_wunderlichi	33.9	38
Britaneuretus_anglicus	33.9	38
Brownimecia_clavata	89.8	93.9
Calyptites_antediluvianum	23.03	33.9
Camponotites_steinbachi	2.588	3.6
Camponotus_ullrichi	5.333	7.246
Cananeuretus_occidentalis	70.6	83.5
Canapone_dentata	70.6	83.5
Carebara_antiqua	2.588	3.6
Casaleia_longiventris	11.608	12.7
Cataulacus_silvestrii	5.333	11.608
Cephalomyrmex_rotundatus	33.9	37.2
Cephalopone_grandis	40.4	48.6
Cephalotes_alveolatus	13.82	20.44
Ceratomyrmex_ellenbergeri	93.5	99.6
Cretomyrma_arnoldii	83.5	85.8
Cyphomyrmex_taino	13.82	20.44
Cyrtopone_curiosa	40.4	48.6
Discothyrea_gigas	13.82	20.44
Dlusskyidris_zherichini	83.5	85.8
Dolichoderus_transversipetiolaris	15.97	20.44
Ectatomma_gracile	5.333	11.608
Elaeomyrmex_coloradensis	33.9	37.2
Elaphrodites_mutatus	15.97	20.44
Emplastus_antiquus	11.608	12.7
Eocenomyrma_breviscapa	33.9	38
Eoformica_globularis	46.2	50.3
Eotapinoma_macalpini	70.6	83.5
Eulithomyrmex_rugosus	33.9	37.2
Eurymyrmex_geologicus	15.97	20.44
Fallomyrma_transversa	33.9	38
Fonsecahymen_stigmata	33.9	38
Formica_pitoni	2.588	3.6
Formicium_brodiei	33.9	38
Gerontoformica_contegus	93.5	99.6
Gesomyrmex_bremii	11.608	12.7
Gnamptogenys_pristina	13.82	20.44
Haidomyrmex_cerberus	93.5	99.6
Hypopomyrmex_bombiccii	5.333	11.608
Imhoffia_nigra	11.608	12.7
Iridomyrmex_shandongicus	15.97	20.44
Klondikia_whiteae	47.8	56
Kohlsimyrma_gracilis	46.2	50.3
Ktunaxia_jucunda	41.3	47.8
Kyromyrma_neffi	89.8	93.9
Lasius_chambonensis	2.588	3.6
Leptogenys_lacerata	15.97	20.44
Leptomyrmex_neotropicus	13.82	20.44
Leptomyrmula_maravignae	5.333	11.608
Leucotaphus_donisthorpei	33.9	38
Liometopum_imhoffii	11.608	12.7
Lioponera_suscitata	0	0.0117
Lonchomyrmex_nigritus	5.333	11.608
Macabeemyrma_ovata	47.8	56
Melissotarsus_ethiopiensis	15.97	23.03
Messelepone_leptogenoides	40.4	48.6
Messor_sculpturatus	33.9	37.2
Mianeuretus_mirabilis	33.9	37.2
Miomyrmex_impactus	33.9	37.2
Miosolenopsis_fossilis	15.97	20.44
Myanmyrma_gracilis	93.5	99.6
Myopopone_sinensis	15.97	20.44
Myrmecites_pusillus	11.608	12.7
Myrmecorhynchus_novaeseelandiae	20.44	23.03
Myrmica_eocenica	33.9	38
Nesomyrmex_caritatis	13.82	20.44
Odontomachus_paleomyagra	16.9	20
Oecophylla_grandimandibula	5.333	8.7
Pachycondyla_nubeculata	15.97	20.44
Paraneuretus_dubovikoffi	33.9	38
Paraphaenogaster_tertiaria	11.608	12.7
Paraponera_dieteri	13.82	20.44
Parasyscia_conservata	0	0.0117
Petraeomyrmex_minimus	33.9	37.2
Pheidole_rasnitsyni	0	0.0117
Plagiolepis_labilis	5.333	11.608
Platythyrea_pumilio	13.82	20.44
Plesiomyrmex_tubulatus	33.9	38
Podomyrma_mayri	5.333	11.608
Pogonomyrmex_fossilis	33.9	37.2
Polyrhachis_cincta	0	0.0117
Ponera_leptocephala	5.333	11.608
Ponerites_tenuis	11.608	12.7
Prionomyrmex_wappleri	23.03	28.4
Proceratium_poinari	13.82	20.44
Proiridomyrmex_rotundatus	41.3	47.8
Protazteca_quadrata	33.9	37.2
Protomyrmica_atavia	33.9	38
Protopone_germanica	40.4	48.6
Pseudectatomma_striatula	40.4	48.6
Pseudocamponotus_elkoanus	28.4	37.2
Pseudomyrmex_extinctus	33.9	37.2
Rhytidoponera_gibsoni	20.44	23.03
Sicilomyrmex_corniger	5.333	11.608
Solenopsis_blanda	28.4	33.9
Solenopsites_abdita	41.3	47.8
Sphecomyrma_mesaki	89.8	93.9
Stigmatomma_groehni	33.9	38
Strumigenys_electrina	13.82	20.44
Taphopone_petrosa	33.9	38
Tapinoma_minutissimum	5.333	11.608
Technomyrmex_deletus	5.333	11.608
Temnothorax_praecreolus	13.82	20.44
Tetramorium_kulickae	33.9	38
Tetramorium_paraarmatum	33.9	38
Titanomyrma_simillima	40.4	48.6
Trachymyrmex_primaevus	13.82	20.44
Usomyrma_mirabilis	33.9	38
Yantaromyrmex_geinitzi	33.9	38
Ypresiomyrma_orientalis	33.9	38
Zhangidris_atopogaster	15.97	20.44
Zigrasimecia_ferox	93.5	99.6
