taxon	age
Acanthognathus_poinari	20.44
Acanthostichus_hispaniolicus	20.44
Afromyrma_petrosa	93.9
Afropone_oculata	93.9
Agastomyrma_laticeps	38
Alloiomma_changweiensis	20.44
Anochetus_ambiguus	20.44
Aphaenogaster_amphioceanica	20.44
Apterostigma_electropilosum	20.44
Archimyrmex_piatnitzkyi	47.8
Archiponera_wheeleri	37.2
Attopsis_longipennis	12.7
Austroponera_schneideri	23.03
Avitomyrmex_elongatus	56
Baikuris_mandibularis	105.3
Biamomyrma_lata	38
Bilobomyrma_ukrainica	38
Boltonidris_mirabilis	38
Bradoponera_wunderlichi	38
Britaneuretus_anglicus	38
Brownimecia_clavata	93.9
Calyptites_antediluvianum	33.9
Camponotites_steinbachi	3.6
Camponotus_ullrichi	7.246
Cananeuretus_occidentalis	83.5
Canapone_dentata	83.5
Carebara_antiqua	3.6
Casaleia_longiventris	12.7
Cataulacus_silvestrii	11.608
Cephalomyrmex_rotundatus	37.2
Cephalopone_grandis	48.6
Cephalotes_alveolatus	20.44
Ceratomyrmex_ellenbergeri	99.6
Cretomyrma_arnoldii	85.8
Cyphomyrmex_taino	20.44
Cyrtopone_curiosa	48.6
Discothyrea_gigas	20.44
Dlusskyidris_zherichini	85.8
Dolichoderus_transversipetiolaris	20.44
Ectatomma_gracile	11.608
Elaeomyrmex_coloradensis	37.2
Elaphrodites_mutatus	20.44
Emplastus_antiquus	12.7
Eocenomyrma_breviscapa	38
Eoformica_globularis	50.3
Eotapinoma_macalpini	83.5
Eulithomyrmex_rugosus	37.2
Eurymyrmex_geologicus	20.44
Fallomyrma_transversa	38
Fonsecahymen_stigmata	38
Formica_pitoni	3.6
Formicium_brodiei	38
Gerontoformica_contegus	99.6
Gesomyrmex_bremii	12.7
Gnamptogenys_pristina	20.44
Haidomyrmex_cerberus	99.6
Hypopomyrmex_bombiccii	11.608
Imhoffia_nigra	12.7
Iridomyrmex_shandongicus	20.44
Klondikia_whiteae	56
Kohlsimyrma_gracilis	50.3
Ktunaxia_jucunda	47.8
Kyromyrma_neffi	93.9
Lasius_chambonensis	3.6
Leptogenys_lacerata	20.44
Leptomyrmex_neotropicus	20.44
Leptomyrmula_maravignae	11.608
Leucotaphus_donisthorpei	38
Liometopum_imhoffii	12.7
Lioponera_suscitata	0.0117
Lonchomyrmex_nigritus	11.608
Macabeemyrma_ovata	56
Melissotarsus_ethiopiensis	23.03
Messelepone_leptogenoides	48.6
Messor_sculpturatus	37.2
Mianeuretus_mirabilis	37.2
Miomyrmex_impactus	37.2
Miosolenopsis_fossilis	20.44
Myanmyrma_gracilis	99.6
Myopopone_sinensis	20.44
Myrmecites_pusillus	12.7
Myrmecorhynchus_novaeseelandiae	23.03
Myrmica_eocenica	38
Nesomyrmex_caritatis	20.44
Odontomachus_paleomyagra	20
Oecophylla_grandimandibula	8.7
Pachycondyla_nubeculata	20.44
Paraneuretus_dubovikoffi	38
Paraphaenogaster_tertiaria	12.7
Paraponera_dieteri	20.44
Parasyscia_conservata	0.0117
Petraeomyrmex_minimus	37.2
Pheidole_rasnitsyni	0.0117
Plagiolepis_labilis	11.608
Platythyrea_pumilio	20.44
Plesiomyrmex_tubulatus	38
Podomyrma_mayri	11.608
Pogonomyrmex_fossilis	37.2
Polyrhachis_cincta	0.0117
Ponera_leptocephala	11.608
Ponerites_tenuis	12.7
Prionomyrmex_wappleri	28.4
Proceratium_poinari	20.44
Proiridomyrmex_rotundatus	47.8
Protazteca_quadrata	37.2
Protomyrmica_atavia	38
Protopone_germanica	48.6
Pseudectatomma_striatula	48.6
Pseudocamponotus_elkoanus	37.2
Pseudomyrmex_extinctus	37.2
Rhytidoponera_gibsoni	23.03
Sicilomyrmex_corniger	11.608
Solenopsis_blanda	33.9
Solenopsites_abdita	47.8
Sphecomyrma_mesaki	93.9
Stigmatomma_groehni	38
Strumigenys_electrina	20.44
Taphopone_petrosa	38
Tapinoma_minutissimum	11.608
Technomyrmex_deletus	11.608
Temnothorax_praecreolus	20.44
Tetramorium_kulickae	38
Tetramorium_paraarmatum	38
Titanomyrma_simillima	48.6
Trachymyrmex_primaevus	20.44
Usomyrma_mirabilis	38
Yantaromyrmex_geinitzi	38
Ypresiomyrma_orientalis	38
Zhangidris_atopogaster	20.44
Zigrasimecia_ferox	99.6
