taxon	age
Acanthognathus_poinari	20.44
Acanthostichus_hispaniolicus	20.44
Afromyrma_petrosa	93.9
Afropone_orapa	93.9
Agastomyrma_laticeps	38
Alloiomma_changweiensis	20.44
Anochetus_ambiguus	20.44
Aphaenogaster_praerelicta	23.03
Apterostigma_electropilosum	20.44
Archimyrmex_rostratus	50.3
Archiponera_wheeleri	37.2
Attopsis_longipennis	12.7
Austroponera_schneideri	23.03
Avitomyrmex_elongatus	56
Baikuris_mirabilis	105.3
Biamomyrma_rugosa	38
Bilobomyrma_baltica	38
Boltonidris_mirabilis	38
Bradoponera_wunderlichi	38
Calyptites_antediluvianum	33.9
Camponotites_steinbachi	3.6
Camponotus_pinguiculus	12.7
Cananeuretus_occidentalis	83.5
Canapone_dentata	83.5
Carebara_antiqua	3.6
Casaleia_eocenica	48.6
Cataulacus_planiceps	11.608
Cephalomyrmex_rotundatus	37.2
Cephalopone_potens	48.6
Cephalotes_integerrimus	20.44
Ceratomyrmex_ellenbergeri	99.4
Cretomyrma_unicornis	85.8
Cyphomyrmex_taino	20.44
Cyrtopone_curiosa	48.6
Discothyrea_gigas	20.44
Dlusskyidris_zherichini	85.8
Dolichoderus_evolans	20.44
Ectatomma_gracile	11.608
Elaeomyrmex_coloradensis	37.2
Elaphrodites_mutatus	20.44
Emplastus_gurnetensis	38
Eocenomyrma_ukrainica	38
Eoformica_pinguis	50.3
Eotapinoma_macalpini	83.5
Eulithomyrmex_rugosus	37.2
Eurymyrmex_geologicus	20.44
Fallomyrma_transversa	38
Fonsecahymen_stigmata	38
Formica_procera	12.7
Formicium_brodiei	38
Gesomyrmex_magnus	38
Gnamptogenys_pristina	20.44
Haidomyrmex_scimitarus	99.6
Hypopomyrmex_bombiccii	11.608
Imhoffia_nigra	12.7
Iridomyrmex_shandongicus	20.44
Klondikia_whiteae	56
Kohlsimyrma_longiceps	50.3
Ktunaxia_jucunda	47.8
Lasius_truncatus	20.44
Leptogenys_lacerata	20.44
Leptomyrmex_neotropicus	20.44
Leptomyrmula_maravignae	11.608
Leucotaphus_donisthorpei	38
Liometopum_imhoffii	12.7
Lonchomyrmex_nigritus	11.608
Macabeemyrma_ovata	56
Melissotarsus_ethiopiensis	23.03
Messelepone_leptogenoides	48.6
Messor_sculpturatus	37.2
Mianeuretus_eocenicus	50.3
Miomyrmex_striatus	37.2
Miosolenopsis_fossilis	20.44
Myopopone_sinensis	20.44
Myrmeciites_tabanifluviensis	56
Myrmecites_pusillus	12.7
Myrmecorhynchus_novaeseelandiae	23.03
Myrmica_eocenica	38
Nesomyrmex_caritatis	20.44
Odontomachus_paleomyagra	20
Oecophylla_sicula	11.608
Pachycondyla_minutansata	20.44
Paraneuretus_dubovikoffi	38
Paraphaenogaster_hooleyana	38
Parasyscia_conservata	0.0117
Petraeomyrmex_minimus	37.2
Pheidole_rasnitsyni	0.0117
Plagiolepis_labilis	11.608
Platythyrea_dlusskyi	55.8
Plesiomyrmex_tubulatus	38
Podomyrma_mayri	11.608
Pogonomyrmex_fossilis	37.2
Ponera_leptocephala	11.608
Ponerites_tenuis	12.7
Prionomyrmex_janzeni	38
Pristomyrmex_rasnitsyni	38
Proceratium_gibberum	20.44
Proiridomyrmex_rotundatus	47.8
Protazteca_eocenica	47.8
Protomyrmica_atavia	38
Protopone_oculata	48.6
Pseudectatomma_striatula	48.6
Pseudocamponotus_elkoanus	37.2
Pseudomyrmex_saxulum	47.8
Rhytidoponera_waipiata	23.03
Sicilomyrmex_corniger	11.608
Solenopsis_moesta	33.9
Solenopsites_minutus	50.3
Stigmatomma_groehni	38
Strumigenys_electrina	20.44
Taphopone_microptera	38
Tapinoma_baculum	20.44
Technomyrmex_septentrionalis	20.44
Temnothorax_praecreolus	20.44
Tetramorium_paraarmatum	38
Titanomyrma_lubei	50.3
Trachymyrmex_primaevus	20.44
Usomyrma_mirabilis	38
Yantaromyrmex_mayrianum	38
Ypresiomyrma_rebekkae	56
Zhangidris_atopogaster	20.44
Zigrasimecia_ferox	99.4
Mycetophylax_conformis_GenBank	0
Bothriomyrmex_saundersi	0
Pachycondyla_sp_Mal3	0
Nylanderia_parvula	0
Sphinctomyrmex_CM01	0
Pachycondyla_sp_CAR1	0
Vombisidris_bilongrudi	0
Nylanderia_sp_MAD01	0
Stigmacros_sp	0
Camponotus_maritimus	0
Phalacromyrmex_fugax	0
Typhlomyrmex_rogenhoferi	0
Dorymyrmex_bicolor	0
Cerapachys_KH02	0
Simopelta_sp_Ecu1	0
Aenictus_sp1	0
Euprenolepis_wittei	0
Brachymyrmex_sp	0
Strumigenys_exiguaevitae	0
Cephalotes_texanus	0
Dacetinops_ignotus_cf	0
Tetramorium_validiusculum	0
Pachycondyla_sp_JTL011	0
Camponotus_conithorax	0
Huberia_brounii	0
Paltothyreus_tarsatus	0
Polyrhachis_cf_vindex	0
Lordomyrma_bhutanensis_cf	0
Neivamyrmex_CR01	0
Paraparatrechina_cf_oceanica	0
Tatuidris_tatusia	0
Veromessor_julianus	0
Pachycondyla_harpax	0
